Z,N,A,S,Th,mTh,E,L
21,35,56,Sc,0.29,0.000001,47.7,2390162.692
21,35,56,Sc,0.29,0.000001,187.8,2390162.692
26,31,57,Fe,98.04,0.000000001,14.4129,7070044.681
26,31,57,Fe,100,0.000000001,14.4129,6931471.806
27,31,58,Co,10.5,0.000001,28.3,66014.0172
27,31,58,Co,10.5,0.000001,52.96,66014.0172
21,37,58,Sc,776,0.000000001,580,893230.9028
21,37,58,Sc,1123,0.000000001,580,617228.1216
21,37,58,Sc,1185,0.000000001,412.5,584934.3296
24,35,59,Cr,96,0.000001,193,7220.283131
22,37,59,Ti,616,0.000000001,108.5,1125238.929
23,37,60,V,204,0.000000001,99.1,3397780.297
23,37,60,V,204,0.000000001,103.2,3397780.297
22,39,61,Ti,200,0.000000001,125,3465735.903
26,35,61,Fe,238,0.000000001,654.75,2912383.112
22,39,61,Ti,354,0.000000001,575.1,1958042.883
29,33,62,Cu,11,0.000000001,146.81,63013380.05
29,33,62,Cu,11,0.000000001,349.25,63013380.05
25,37,62,Mn,95,0.000000001,113.8,7296286.111
28,35,63,Ni,1.67,0.000001,87.13,415058.192
31,32,63,Ga,25,0.000000001,75.2,27725887.22
29,35,64,Cu,20.4,0.000000001,1019.59,33977802.97
31,33,64,Ga,21.9,0.000001,42.89,31650.55619
25,39,64,Mn,400,0.000001,135.3,1732.867951
30,35,65,Zn,1.59,0.000001,53.93,435941.623
28,37,65,Ni,25.6,0.000000001,1017,27076061.74
28,37,65,Ni,69,0.000001,63.36,10045.61131
26,39,65,Fe,419,0.000000001,33.9,1654289.214
33,33,66,As,1.15,0.000001,124.4,602736.6787
33,33,66,As,7.9,0.000001,114.4,87740.14944
31,35,66,Ga,13,0.000000001,53.39,53319013.89
31,35,66,Ga,13,0.000000001,96.34,53319013.89
31,35,66,Ga,13,0.000000001,118.8,53319013.89
31,35,66,Ga,18,0.000000001,43.81,38508176.7
31,35,66,Ga,23,0.000000001,22.33,30136833.94
31,35,66,Ga,57.3,0.000000001,113.7,12096809.43
31,35,66,Ga,57.3,0.000000001,600.9,12096809.43
27,39,66,Co,100,0.000001,252,6931.471806
29,37,66,Cu,600,0.000000001,563.34,1155245.301
25,41,66,Mn,780,0.000001,169.8,888.6502315
27,39,66,Co,823,0.000000001,175.5,842220.1465
30,37,67,Zn,9.142,0.000001,93.311,75820.08101
28,39,67,Ni,13.3,0.000001,313.8,52116.32937
32,35,67,Ge,13.7,0.000001,18.2,50594.68471
31,36,67,Ga,42,0.000000001,167.01,16503504.3
26,41,67,Fe,64,0.000001,388,10830.4247
32,35,67,Ge,105,0.000000001,733.5,6601401.72
30,37,67,Zn,333,0.000000001,604.48,2081523.065
28,40,68,Ni,0.85,0.001,815,815.4672712
33,35,68,As,19,0.000000001,248.4,36481430.56
33,35,68,As,19,0.000000001,266.6,36481430.56
28,40,68,Ni,23,0.000000001,209.3,30136833.94
28,40,68,Ni,23,0.000000001,274.7,30136833.94
28,40,68,Ni,23,0.000000001,652,30136833.94
33,35,68,As,36,0.000000001,63.9,19254088.35
33,35,68,As,36,0.000000001,854.2,19254088.35
33,35,68,As,36,0.000000001,943.6,19254088.35
31,37,68,Ga,62,0.000000001,126.35,11179793.23
31,37,68,Ga,62,0.000000001,733.76,11179793.23
27,41,68,Co,101,0.000000001,48.4,6862843.372
33,35,68,As,107,0.000000001,72.6,6478011.033
33,35,68,As,107,0.000000001,111.4,6478011.033
33,35,68,As,107,0.000000001,265,6478011.033
33,35,68,As,107,0.000000001,426.1,6478011.033
28,40,68,Ni,270,0.000000001,1604,2567211.78
28,41,69,Ni,0.439,0.000001,148,1578922.963
34,35,69,Se,2,0.000001,39.4,346573.5903
32,37,69,Ge,2.81,0.000001,397.95,246671.5945
32,37,69,Ge,5.1,0.000001,86.78,135911.2119
29,40,69,Cu,22,0.000000001,208.8,31506690.03
29,40,69,Cu,39,0.000000001,613.6,17773004.63
29,40,69,Cu,39,0.000000001,1085.8,17773004.63
29,40,69,Cu,357,0.000000001,189.9,1941588.741
34,35,69,Se,955,0.000000001,534.8,725808.566
28,42,70,Ni,0.232,0.000001,183.11,2987703.364
31,39,70,Ga,22.7,0.000000001,188.1,30535118.09
33,37,70,As,96,0.000001,32.05,7220.283131
29,42,71,Cu,0.271,0.000001,133,2557738.674
34,37,71,Se,5.6,0.000001,48.78,123776.2822
34,37,71,Se,19,0.000001,260.5,36481.43056
33,38,71,As,19.8,0.000000001,1000.26,35007433.36
32,39,71,Ge,20.22,0.001,23.438,34.28027599
35,36,71,Br,32.5,0.000000001,89.3,21327605.56
35,36,71,Br,32.5,0.000000001,759.1,21327605.56
33,38,71,As,59,0.000000001,143.2,11748257.3
32,39,71,Ge,79,0.000000001,174.956,8774014.944
29,43,72,Cu,1.76,0.000001,51,393833.6253
33,39,72,As,10.7,0.000000001,45.89,64780110.33
29,43,72,Cu,17.6,0.000000001,137.4,39383362.53
34,38,72,Se,19.22,0.000000001,75.06,36063849.14
34,38,72,Se,19.22,0.000000001,937,36063849.14
36,36,72,Kr,26.3,0.000000001,671,26355406.1
33,39,72,As,27,0.000000001,96.09,25672117.8
33,39,72,As,27,0.000000001,104.58,25672117.8
33,39,72,As,27,0.000000001,309.77,25672117.8
33,39,72,As,27,0.000000001,318.39,25672117.8
31,41,72,Ga,39.2,0.000000001,16.4,17682326.03
31,41,72,Ga,39.68,0.001,103.14,17.46842693
33,39,72,As,85,0.000000001,166.77,8154672.712
33,39,72,As,85,0.000000001,213.68,8154672.712
33,39,72,As,87.9,0.000000001,200.02,7885633.453
32,40,72,Ge,444.2,0.000000001,689.6,1560439.398
32,41,73,Ge,0.499,1,53.44,1.389072506
32,41,73,Ge,2.91,0.000001,13.2845,238194.9074
33,40,73,As,5.7,0.000001,360.86,121604.7685
33,40,73,As,5.7,0.000001,428.3,121604.7685
30,43,73,Zn,13,0.001,195.5,53.31901389
35,38,73,Br,35,0.000000001,62.4,19804205.16
35,38,73,Br,35,0.000000001,213.5,19804205.16
36,37,73,Kr,107,0.000000001,40.8,6478011.033
36,37,73,Kr,107,0.000000001,65.8,6478011.033
35,39,74,Br,13.3,0.000000001,72.1,52116329.37
36,38,74,Kr,13.4,0.000000001,53.23,51727401.53
36,38,74,Kr,13.4,0.000000001,509.4,51727401.53
33,41,74,As,26.8,0.000000001,76.13,25863700.77
33,41,74,As,26.8,0.000000001,259.2,25863700.77
33,42,75,As,17.62,0.001,24.38,39.33865951
33,42,75,As,17.62,0.001,303.9236,39.33865951
34,41,75,Se,30,0.000000001,6.5,23104906.02
35,40,75,Br,31.7,0.000000001,88.29,21865841.66
29,46,75,Cu,149,0.000000001,66.2,4651994.5
32,43,75,Ge,216,0.000000001,52.5,3209014.725
29,46,75,Cu,310,0.000000001,61.7,2235958.647
33,43,76,As,1.84,0.000001,44.425,376710.4242
37,39,76,Rb,3.05,0.000001,70.55,227261.3707
30,46,76,Zn,25.4,0.000000001,1337,27289259.08
28,48,76,Ni,547.8,0.000000001,142.56,1265328.917
35,42,77,Br,4.28,60,105.87,0.002699171
34,43,77,Se,17.36,1,161.9224,0.039927833
33,44,77,As,114,0.000001,211.03,6080.238426
33,44,77,As,114,0.000001,475.46,6080.238426
36,41,77,Kr,118,0.000000001,66.52,5874128.649
30,48,78,Zn,0.32,0.000001,144.7,2166084.939
37,41,78,Rb,0.91,0.000001,46.8,761700.1984
35,43,78,Br,11.3,0.000000001,32.3,61340458.46
35,43,78,Br,17,0.000000001,46.3,40773363.56
35,43,78,Br,17,0.000000001,242.85,40773363.56
35,43,78,Br,84,0.000000001,46.8,8251752.15
35,43,78,Br,119.4,0.000001,148.55,5805.252769
33,46,79,As,1.21,0.000001,542.27,572848.9096
35,44,79,Br,4.85,1,207.5,0.142916944
37,42,79,Rb,18.6,0.000000001,96.7,37265977.45
37,42,79,Rb,20.5,0.000000001,39.41,33812057.59
38,41,79,Sr,21,0.000000001,177.29,33007008.6
36,43,79,Kr,50,1,129.76,0.013862944
36,43,79,Kr,78.7,0.000000001,17.3,8807460.998
36,43,79,Kr,78.7,0.000000001,147.08,8807460.998
35,45,80,Br,4.4205,3600,48.786,4.35564E-05
39,41,80,Y,4.7,0.000001,84,147478.1235
37,43,80,Rb,13.9,0.000000001,156.8,49866703.64
31,49,80,Ga,18.3,0.000000001,685.4,37876895.11
38,43,81,Sr,0.39,0.000001,79.23,1777300.463
38,43,81,Sr,24,0.000000001,119.76,28881132.52
35,46,81,Br,34.6,0.000001,260.21,20033.15551
39,43,82,Y,11,0.000000001,64.3,63013380.05
39,43,82,Y,11,0.000000001,87.5,63013380.05
39,43,82,Y,11,0.000000001,258.7,63013380.05
37,45,82,Rb,12.3,0.000000001,123.2,56353429.31
39,43,82,Y,35.3,0.000000001,68.2,19635897.47
41,41,82,Nb,92,0.000000001,124,7534208.484
31,51,82,Ga,94,0.000001,140.7,7373.906176
39,43,82,Y,147,0.000000001,106.4,4715286.943
39,43,82,Y,268,0.000000001,65.7,2586370.077
