Z,N,A,S,Th,uTh,mTh,E,uE,L
28,41,69,Ni,0.439,3,0.000001,148,,1578922.963
32,37,69,Ge,2.81,5,0.000001,397.95,2,246671.5945
33,37,70,As,96,3,0.000001,32.05,3,7220.283131
28,42,70,Ni,0.232,1,0.000001,183.11,2,2987703.364
34,37,71,Se,5.6,7,0.000001,48.78,5,123776.2822
29,42,71,Cu,0.271,14,0.000001,133,3,2557738.674
34,37,71,Se,19,5,0.000001,260.5,1,36481.43056
29,43,72,Cu,1.76,3,0.000001,51,,393833.6253
32,41,73,Ge,2.91,3,0.000001,13.2845,15,238194.9074
33,40,73,As,5.7,2,0.000001,360.86,2,121604.7685
33,40,73,As,5.7,2,0.000001,428.3,3,121604.7685
33,43,76,As,1.84,6,0.000001,44.425,1,376710.4242
37,39,76,Rb,3.05,7,0.000001,70.55,5,227261.3707
33,44,77,As,114,25,0.000001,211.03,4,6080.238426
33,44,77,As,114,25,0.000001,475.46,10,6080.238426
37,41,78,Rb,0.91,4,0.000001,46.8,2,761700.1984
30,48,78,Zn,0.32,1,0.000001,144.7,5,2166084.939
35,43,78,Br,119.4,10,0.000001,148.55,10,5805.252769
33,46,79,As,1.21,1,0.000001,542.27,7,572848.9096
39,41,80,Y,4.7,3,0.000001,84,,147478.1235
38,43,81,Sr,0.39,5,0.000001,79.23,4,1777300.463
35,46,81,Br,34.6,28,0.000001,260.21,9,20033.15551
31,51,82,Ga,94,9,0.000001,140.7,3,7373.906176
40,43,83,Zr,1.8,1,0.000001,24.3,5,385081.767
40,43,83,Zr,0.53,12,0.000001,52.7,5,1307824.869
35,48,83,Br,0.7,1,0.000001,303.4,4,990210.2579
36,48,84,Kr,1.83,4,0.000001,63.5,1,378768.9511
36,49,85,Kr,1.82,6,0.000001,60.2,2,380850.0992
37,48,85,Rb,1.015,1,0.000001,233,,682903.6262
37,48,85,Rb,1.015,1,0.000001,362.81,4,682903.6262
37,48,85,Rb,1.015,1,0.000001,514.0048,22,682903.6262
43,43,86,Tc,1.1,14,0.000001,81,,630133.8005
38,48,86,Sr,0.455,7,0.000001,98.68,3,1523400.397
40,48,88,Zr,1.337,25,0.000001,76.99,1,518434.69
35,53,88,Br,5.5,4,0.000001,110.9,5,126026.7601
42,48,90,Mo,1.14,5,0.000001,63.15,9,608023.8426
41,49,90,Nb,0.458,12,0.000001,71.1,2,1513421.792
41,49,90,Nb,63,2,0.000001,122.37,22,11002.3362
33,57,90,As,0.2,3,0.000001,124.5,5,3465735.903
41,49,90,Nb,0.458,12,0.000001,1067.3,2,1513421.792
41,50,91,Nb,3.76,12,0.000001,50.1,2,184347.6544
40,51,91,Zr,4.35,14,0.000001,879.2,3,159344.1794
45,47,92,Rh,0.232,15,0.000001,55.3,3,2987703.364
43,49,92,Tc,0.99,7,0.000001,56.34,2,700148.6672
34,58,92,Se,15.7,7,0.000001,67,,44149.50195
41,51,92,Nb,5.9,2,0.000001,90.37,9,117482.573
35,57,92,Br,0.089,-1,0.000001,106.3,5,7788170.568
35,57,92,Br,0.084,1,0.000001,778.8,5,8251752.15
35,57,92,Br,0.084,1,0.000001,898.3,5,8251752.15
35,57,92,Br,0.084,1,0.000001,1039.8,5,8251752.15
43,50,93,Tc,10.2,3,0.000001,0.31,2,67955.60594
43,50,93,Tc,10.2,3,0.000001,39.75,10,67955.60594
44,51,93,Ru,2.5,5,0.000001,146.3,10,277258.8722
34,59,93,Se,0.39,4,0.000001,208.3,5,1777300.463
34,59,93,Se,0.39,4,0.000001,469.9,5,1777300.463
43,50,93,Tc,10.2,3,0.000001,750.7,2,67955.60594
45,49,94,Rh,0.48,3,0.000001,54.6,2,1444056.626
35,59,94,Br,0.53,15,0.000001,92.1,5,1307824.869
46,48,94,Pd,0.509,7,0.000001,95.6,2,1361782.28
44,50,94,Ru,68,4,0.000001,146.1,2,10193.34089
44,50,94,Ru,102,17,0.000001,146.1,2,6795.560594
35,59,94,Br,0.53,15,0.000001,179,5,1307824.869
34,60,94,Se,0.68,5,0.000001,495.4,3,1019334.089
39,55,94,Y,1.3,1,0.000001,769.9,,533190.1389
