Z,N,A,S,Th,uTh,mTh,E,uE,L
28,40,68,Ni,0.85,4,0.001,815,2,815.4672712
32,39,71,Ge,20.22,12,0.001,23.438,15,34.28027599
31,41,72,Ga,39.68,13,0.001,103.14,17,17.46842693
30,43,73,Zn,13,2,0.001,195.5,2,53.31901389
33,42,75,As,17.62,23,0.001,24.38,,39.33865951
33,42,75,As,17.62,23,0.001,303.9236,10,39.33865951
37,46,83,Rb,7.8,,0.001,42.078,2,88.86502315
39,49,88,Y,0.304,3,0.001,392.87,9,2280.08941
39,49,88,Y,14,4,0.001,442.62,3,49.5105129
42,47,89,Mo,190,15,0.001,268.6,2,3.648143056
40,50,90,Zr,809.2,20,0.001,132.716,18,0.856583268
41,49,90,Nb,6.22,8,0.001,257.34,4,111.4384535
40,50,90,Zr,809.2,20,0.001,2318.959,25,0.856583268
49,60,109,In,210,1,0.001,673.5,1,3.30070086
49,65,114,In,42.6,9,0.001,311.665,6,16.27106058
46,71,117,Pd,19.1,7,0.001,71.5,3,36.2904283
46,71,117,Pd,19.1,7,0.001,168.6,3,36.2904283
51,68,119,Sb,835,90,0.001,288.2,,0.830116384
51,71,122,Sb,0.53,3,0.001,76.0595,7,1307.824869
49,76,125,In,5,15,0.001,151.8,,138.6294361
55,70,125,Cs,0.9,3,0.001,13,,770.163534
48,80,128,Cd,6.3,8,0.001,309,,110.023362
48,81,129,Cd,3.6,2,0.001,353,,192.5408835
56,74,130,Ba,9.4,4,0.001,80.3,2,73.73906176
56,74,130,Ba,9.4,4,0.001,462.3,2,73.73906176
56,74,130,Ba,9.4,4,0.001,882.3,2,73.73906176
52,79,131,Te,93,12,0.001,360.3,2,7.45319549
58,74,132,Ce,9.4,3,0.001,11.6,,73.73906176
58,74,132,Ce,9.4,3,0.001,526.8,3,73.73906176
54,78,132,Xe,8.37,8,0.001,538.2,1,82.81328322
58,74,132,Ce,9.4,3,0.001,798.5,2,73.73906176
54,79,133,Xe,8.64,13,0.001,231,,80.22536812
60,74,134,Nd,0.39,2,0.001,166.5,3,1777.300463
54,80,134,Xe,290,17,0.001,234.3,5,2.390162692
60,74,134,Nd,0.39,2,0.001,595.5,6,1777.300463
60,74,134,Nd,0.39,2,0.001,873.1,6,1777.300463
56,79,135,Ba,1.06,4,0.001,254,,653.9124345
57,79,136,La,114,5,0.001,87.5,2?,6.080238426
58,80,138,Ce,8.73,20,0.001,302.8,1,79.39830247
61,78,139,Pm,180,20,0.001,188.7,3,3.85081767
60,80,140,Nd,0.6,5,0.001,419.81,1,1155.245301
65,77,142,Tb,303,17,0.001,68.2,3,2.287614457
65,77,142,Tb,303,17,0.001,98.3,9,2.287614457
61,81,142,Pm,2,2,0.001,433.7,1,346.5735903
62,81,143,Sm,30,3,0.001,208,,23.10490602
66,80,146,Dy,150,20,0.001,127,3,4.620981204
66,80,146,Dy,150,20,0.001,416.5,3,4.620981204
65,81,146,Tb,1.2,3,0.001,417.7,1,577.6226505
67,81,148,Ho,2.36,6,0.001,373.1,1,293.7064324
69,81,150,Tm,5.2,3,0.001,331.2,,133.2975347
62,91,153,Sm,10.6,3,0.001,32.9,1,65.39124345
64,91,155,Gd,31.97,27,0.001,13.47,19,21.68117549
67,88,155,Ho,0.88,8,0.001,31.7,1,787.6672506
66,91,157,Dy,21.6,16,0.001,37.36,8,32.09014725
66,91,157,Dy,21.6,16,0.001,51.7,1,32.09014725
68,89,157,Er,76,6,0.001,155.4,3,9.120357639
65,93,158,Tb,0.4,4,0.001,65.76,10,1732.867951
65,93,158,Tb,0.4,4,0.001,171.07,10,1732.867951
69,97,166,Tm,340,25,0.001,34.418,1),2.038668178
70,101,171,Yb,5.25,24,0.001,19.394,2),132.0280344
70,105,175,Yb,68.2,3,0.001,514.862,11),10.1634484
73,103,176,Ta,0.97,7,0.001,6.9,6),714.5847222
73,103,176,Ta,0.97,7,0.001,11.2,6),714.5847222
73,103,176,Ta,1.1,1,0.001,33.5,,630.1338005
73,103,176,Ta,0.97,7,0.001,345.6,6),714.5847222
73,105,178,Ta,58,4,0.001,227.3,1),11.95081346
73,105,178,Ta,290,12,0.001,431.1,8),2.390162692
73,106,179,Ta,9,2,0.001,64.7,3),77.0163534
73,106,179,Ta,54.1,17,0.001,108.8,3),12.81233236
75,104,179,Re,0.466,15,0.001,244.9,2),1487.440302
71,108,179,Lu,3.1,9,0.001,592.1,4),223.5958647
74,106,180,W,5.47,9,0.001,67,,126.7179489
71,109,180,Lu,1,,0.001,128,,693.1471806
74,106,180,W,5.47,9,0.001,390.581,15),126.7179489
72,109,181,Hf,1.5,5,0.001,357,,462.0981204
72,109,181,Hf,1.5,5,0.001,499.2,,462.0981204
73,109,182,Ta,283,3,0.001,16.273,4),2.449283324
76,106,182,Os,0.78,7,0.001,553.5,2),888.6502315
75,108,183,Re,1.04,4,0.001,193.84,8),666.4876736
78,106,184,Pt,0.98,6,0.001,49,1),707.2930414
78,106,184,Pt,0.98,6,0.001,112,1),707.2930414
78,106,184,Pt,0.98,6,0.001,610.1,20),707.2930414
73,112,185,Ta,11.8,14,0.001,14.5,,58.74128649
73,112,185,Ta,11.8,14,0.001,280.4,2),58.74128649
77,110,187,Ir,30.3,6,0.001,76.09,3),22.87614457
77,110,187,Ir,30.3,6,0.001,186.2,1),22.87614457
77,112,189,Ir,13.3,3,0.001,71.69,4),52.11632937
77,112,189,Ir,3.7,2,0.001,84.5,3),187.3370758
77,112,189,Ir,3.7,2,0.001,224,1),187.3370758
77,112,189,Ir,3.7,2,0.001,247.6,3),187.3370758
77,112,189,Ir,13.3,3,0.001,258.37,6),52.11632937
74,116,190,W,0.06,147,0.001,58.5,5),11552.45301
79,113,192,Au,160,20,0.001,59.8,3),4.332169878
79,113,192,Au,29,,0.001,62.8,3),23.90162692
79,113,192,Au,29,,0.001,103.8,3),23.90162692
79,115,194,Au,600,8,0.001,26.9,5),1.155245301
77,117,194,Ir,31.85,24,0.001,34.829,10),21.76286281
77,117,194,Ir,31.85,24,0.001,62.793,3),21.76286281
79,115,194,Au,420,10,0.001,69,3),1.65035043
81,117,198,Tl,32.1,10,0.001,198.8,2),21.59337011
81,118,199,Tl,28.4,2,0.001,29,2),24.40659086
79,120,199,Au,0.44,3,0.001,55.15,19),1575.334501
81,118,199,Tl,28.4,2,0.001,381.98,5),24.40659086
81,119,200,Tl,34,9,0.001,212.7,2),20.38668178
85,116,201,At,45,3,0.001,269.1,1),15.40327068
81,120,201,Tl,2.12,12,0.001,588,2),326.9562172
82,121,203,Pb,480,7,0.001,153.4,2),1.444056626
83,120,203,Bi,305,5,0.001,189.5,1),2.272613707
83,120,203,Bi,305,5,0.001,204.7,1),2.272613707
85,118,203,At,3.5,6,0.001,462,2),198.0420516
82,121,203,Pb,480,7,0.001,1027,3),1.444056626
83,121,204,Bi,1.07,3,0.001,181.8,2),647.8011033
85,119,204,At,108,10,0.001,587.3,2),6.41802945
83,121,204,Bi,13,1,0.001,752.1,2),53.31901389
83,121,204,Bi,1.07,3,0.001,918.1,2),647.8011033
82,123,205,Pb,5.55,2,0.001,26.22,11),124.8913839
83,122,205,Bi,8,2,0.001,150,,86.64339757
84,121,205,Po,0.645,20,0.001,161.3,17),1074.646792
80,125,205,Hg,1.09,4,0.001,161.4,2),635.9148446
87,118,205,Fr,1.15,4,0.001,165,5),602.7366787
80,125,205,Hg,1.09,4,0.001,210.3,2),635.9148446
82,123,205,Pb,5.55,2,0.001,310.35,5),124.8913839
84,121,205,Po,57.4,9,0.001,580.9,2),12.07573485
82,123,205,Pb,5.55,2,0.001,1013.8,1),124.8913839
83,123,206,Bi,0.89,1,0.001,229,5),778.8170568
83,123,206,Bi,0.89,1,0.001,903.6,5),778.8170568
83,125,208,Bi,2.6,5,0.001,920.5,3),266.5950694
96,148,244,Cm,34,2,0.001,538.4,16),20.38668178
96,148,244,Cm,34,2,0.001,743.971,5),20.38668178
96,148,244,Cm,34,2,0.001,897.848,7),20.38668178
102,150,252,No,109,3,0.001,710,,6.359148446
102,152,254,No,263,2,0.001,53,1),2.63554061
102,152,254,No,263,2,0.001,778,1),2.63554061
