Z,N,A,S,Th,uTh,mTh,E,uE,L
35,42,77,Br,4.28,10,60,105.87,10,0.002699171
37,47,84,Rb,20.26,4,60,215.61,10,0.00057021
37,47,84,Rb,20.26,4,60,463.62,10,0.00057021
45,58,103,Rh,56.114,9,60,39.755,6,0.000205875
46,63,109,Pd,4.694,2,60,188.99,1,0.002461111
49,60,109,In,1.34,7,60,649.9,15,0.008621234
48,63,111,Cd,48.53,5,60,150.824,13,0.000238048
49,62,111,In,7.7,2,60,537.22,9,0.001500319
49,63,112,In,20.76,8,60,156.61,3,0.000556477
49,64,113,In,99.47,6,60,391.698,3,0.00011614
51,71,122,Sb,4.191,3,60,26.0867,24,0.002756491
51,73,124,Sb,20.2,2,60,25.981,3,0.000571904
56,75,131,Ba,14.26,9,60,79.918,7,0.00081013
55,80,135,Cs,53,2,60,846.1,,0.000217971
56,81,137,Ba,2.5223,10,60,378,4,0.004580126
56,81,137,Ba,2.5223,10,60,661.657,3,0.004580126
63,89,152,Eu,95.8,4,60,39.75,10,0.000120589
63,91,154,Eu,46.3,4,60,8.6,,0.000249513
67,97,164,Ho,36.6,3,60,45.79,6),0.000315641
71,101,172,Lu,3.7,5,60,41.86,4),0.003122285
72,105,177,Hf,51.4,5,60,214,,0.000224756
73,109,182,Ta,15.84,10,60,184.951,15),0.000729322
73,109,182,Ta,15.84,10,60,356.47,10),0.000729322
74,111,185,W,1.67,3,60,9.53,6),0.006917637
74,111,185,W,1.67,3,60,23.54,5),0.006917637
74,111,185,W,1.67,3,60,131.55,2),0.006917637
75,113,188,Re,18.59,4,60,2.636,3),0.000621434
75,113,188,Re,18.59,4,60,15.93,10),0.000621434
76,114,190,Os,9.86,3,60,38.9,1),0.001171648
80,119,199,Hg,42.67,9,60,118.6,,0.000270739
80,119,199,Hg,42.67,9,60,374.1,1),0.000270739
82,122,204,Pb,66.93,10,60,622.2,2),0.000172605
82,122,204,Pb,66.93,10,60,911.74,15),0.000172605
81,125,206,Tl,3.74,3,60,316.8,2),0.003088891
81,125,206,Tl,3.74,3,60,564.2,1),0.003088891
81,125,206,Tl,3.74,3,60,1021.5,2),0.003088891
92,133,235,U,26.5,10,60,0.0765,4),0.000435942
