Z,N,A,S,Th,uTh,mTh,E,uE,L
32,41,73,Ge,0.499,11,1,53.44,9,1.389072506
34,43,77,Se,17.36,5,1,161.9224,11,0.039927833
36,43,79,Kr,50,3,1,129.76,10,0.013862944
35,44,79,Br,4.85,4,1,207.5,1,0.142916944
38,45,83,Sr,4.95,12,1,259.1,1,0.140029733
40,47,87,Zr,14,2,1,134.93,15,0.049510513
39,50,89,Y,15.663,5,1,908.96,25,0.044253794
39,54,93,Y,0.82,4,1,168.499,4,0.84530144
41,56,97,Nb,58.7,18,1,743.36,3,0.011808299
47,52,99,Ag,10.5,5,1,163.6,3,0.066014017
47,54,101,Ag,3.1,10,1,176.2,5,0.223595865
47,56,103,Ag,5.7,3,1,134.44,4,0.121604769
45,60,105,Rh,42.9,3,1,129.782,4,0.016157277
49,56,105,In,48,6,1,674.1,3,0.014440566
47,60,107,Ag,44.3,2,1,93.124,20,0.015646663
46,61,107,Pd,21.3,5,1,214.9,5,0.032542121
49,58,107,In,50.4,6,1,678.5,3,0.01375292
47,62,109,Ag,39.7,2,1,88.0336,10,0.017459627
46,67,113,Pd,0.3,1,1,81.1,1,2.310490602
49,67,116,In,2.18,4,1,162.393,7,0.317957422
55,67,122,Cs,0.36,2,1,81.2,10,1.925408835
55,68,123,Cs,1.64,12,1,61.7,5,0.42265072
57,68,125,La,0.39,4,1,107,1,1.777300463
54,71,125,Xe,57,1,1,140.5,2,0.012160477
51,75,126,Sb,11,,1,22.7,7,0.06301338
56,71,127,Ba,1.93,7,1,24.2,1,0.359143617
56,71,127,Ba,1.93,7,1,80.2,2,0.359143617
54,73,127,Xe,69.2,9,1,172.4,1,0.010016578
50,78,128,Sn,6.5,5,1,91.15,10,0.106638028
57,72,129,La,0.56,5,1,104,3,1.237762822
53,80,133,I,9,2,1,74.05,1,0.077016353
59,74,133,Pr,1.1,2,1,130.4,2,0.630133801
58,77,135,Ce,20,1,1,149.7,2,0.034657359
56,80,136,Ba,0.3075,31,1,163.92,2,2.254137173
60,77,137,Nd,1.6,15,1,233.5,2,0.433216988
58,81,139,Ce,57.58,32,1,754.24,8,0.012037985
67,89,156,Ho,9.5,15,1,52.37,,0.072962861
67,92,159,Ho,8.3,8,1,40,1,0.083511709
67,92,159,Ho,8.3,8,1,205.92,5,0.083511709
67,94,161,Ho,6.76,7,1,211.15,3,0.102536565
67,96,163,Ho,1.09,3,1,297.88,10),0.635914845
68,99,167,Er,2.269,6,1,207.801,5),0.305485756
70,99,169,Yb,46,2,1,24.2,2),0.015068417
71,98,169,Lu,160,10,1,29,5),0.00433217
71,99,170,Lu,0.67,10,1,48.42,10),1.034548031
72,99,171,Hf,29.5,9,1,21.93,9),0.023496515
71,100,171,Lu,79,2,1,71.1,9),0.008774015
68,106,174,Er,3.9,35,1,162.9,,0.177730046
68,106,174,Er,3.9,35,1,551,,0.177730046
70,106,176,Yb,11.4,3,1,95.92,9),0.060802384
72,105,177,Hf,1.09,5,1,14.05,10),0.635914845
72,105,177,Hf,1.09,5,1,55.15,2),0.635914845
70,107,177,Yb,6.41,2,1,227,2),0.108135286
72,105,177,Hf,1.09,5,1,228.4838,6),0.635914845
72,106,178,Hf,4,2,1,88.8667,10),0.173286795
72,107,179,Hf,18.67,4,1,160.696,2),0.037126255
72,107,179,Hf,18.67,4,1,375,,0.037126255
74,109,183,W,5.32,10,1,102.481,3),0.130290823
79,108,187,Au,2.3,1,1,101,2),0.301368339
79,112,191,Au,0.92,11,1,13.7,6),0.753420848
77,114,191,Ir,4.899,23,1,41.89,4),0.141487483
77,114,191,Ir,5.8,6,1,54,10),0.119508135
77,114,191,Ir,5.8,6,1,308.5,5),0.119508135
75,117,192,Re,61,20,1,267,10),0.011363069
79,116,195,Au,30.5,2,1,56.8,3),0.022726137
81,114,195,Tl,3.6,4,1,98.97,12),0.192540883
79,116,195,Au,30.5,2,1,318.6,10),0.022726137
79,117,196,Au,8.1,2,1,84.66,2),0.085573726
79,118,197,Au,7.73,6,1,130.2,1),0.089669752
81,116,197,Tl,0.54,1,1,222.45,5),1.28360589
79,118,197,Au,7.73,6,1,409.1,1),0.089669752
83,115,198,Bi,7.7,5,1,248.5,5),0.090019114
78,121,199,Pt,13.5,3,1,391.93,14),0.051344236
83,117,200,Bi,0.4,5,1,428.2,1),1.732867951
82,119,201,Pb,60.8,18,1,629.1,5),0.011400447
84,119,203,Po,45,2,1,2.3,2),0.015403271
82,121,203,Pb,6.21,11,1,4.9,3),0.111617903
84,119,203,Po,45,2,1,641.5,2),0.015403271
82,121,203,Pb,6.21,11,1,825.1,1),0.111617903
84,123,207,Po,2.79,8,1,109.1,,0.24843985
84,123,207,Po,2.79,8,1,268.08,6),0.24843985
81,126,207,Tl,1.33,11,1,997.1,3),0.521163294
82,125,207,Pb,0.805,8,1,1063.656,3),0.861052398
81,126,207,Tl,1.47,32,1,1348.1,3),0.471528694
94,143,237,Pu,0.18,2,1,145.542,8),3.85081767
